,0
0,333.96604445848806
1,285.58843196308686
2,284.94395446877877
3,263.12311784226534
4,260.82053393811395
5,248.04970784154884
6,232.66401032673548
7,229.37003326493914
8,207.36986173793719
9,189.57899614466976
10,218.74062874830872
11,216.5533741740601
12,176.48306807084765
13,137.370098767701
14,291.8342291598532
15,201.34266081918406
16,179.56559065710596
17,183.53050127764251
18,163.78335209013048
19,143.24268029672987
20,123.46313412538966
21,76.71677654926522
22,121.25437187579902
23,60.58838285872604
24,106.68133778775511
25,186.4186249274774
26,188.77397506395056
27,161.54413247858517
28,143.89597856535968
29,99.03456412825457
30,193.91382157306612
31,332.4326481055415
32,352.1681726146253
33,289.55464561840574
34,121.11880826784001
35,196.1349041073314
36,68.75948861436062
37,76.35045500009728
38,89.07464782125615
39,28.712358283920032
40,49.191868339652856
41,39.245046989375595
