,id,dev_id,id_route,date,hour,predicted_hour,type_record,latitude,longitude,predicted_latitude,predicted_longitude,speed,accx,accy,accz,gyrox,gyroy,gyroz,SF,BW,CR,RSSI
0,91,tarjeta5-cubecell,0,2022-12-23,0 days 15:23:38,0 days 15:23:38,1,2.450053,-76.621476,2.4485852400971,-76.62163138322,,,-1.859034399394,,,,-1.155715245292,,,,
1,92,tarjeta5-cubecell,0,2022-12-23,0 days 15:23:51,0 days 15:23:51,1,2.450706,-76.621716,2.4490127415185,-76.62152273361,,,-2.198607652601,,,,0.3305882198651,,,,
2,93,tarjeta5-cubecell,0,2022-12-23,0 days 15:24:05,0 days 15:24:05,1,2.451302,-76.622026,2.4494815442277,-76.62146447252,,,-2.436864356801,,,,0.8698493647351,,,,
3,94,tarjeta5-cubecell,0,2022-12-23,0 days 15:24:18,0 days 15:24:18,1,2.451747,-76.622598,2.4499510673916,-76.62155583804,,,-2.521848175429,,,,0.3977448932876,,,,
4,95,tarjeta5-cubecell,0,2022-12-23,0 days 15:24:31,0 days 15:24:31,1,2.452118,-76.623234,2.4503535756252,-76.62177890348,,,-2.409780740359,,,,-0.298534145743,,,,
5,96,tarjeta5-cubecell,0,2022-12-23,0 days 15:24:44,0 days 15:24:44,1,2.452310,-76.623571,2.4507612706854,-76.6221349269,,,-2.126222502982,,,,-0.345999784494,,,,
6,97,tarjeta5-cubecell,0,2022-12-23,0 days 15:24:58,0 days 15:24:58,1,2.451893,-76.623856,2.451191022225,-76.62255766921,,,-1.579213226582,,,,0.1684252125859,,,,
7,98,tarjeta5-cubecell,0,2022-12-23,0 days 15:25:11,0 days 15:25:11,1,2.451452,-76.624116,2.4516022205701,-76.6229921223,,,-0.656142990165,,,,1.5836428041488,,,,
8,99,tarjeta5-cubecell,0,2022-12-23,0 days 15:25:24,0 days 15:25:24,1,2.450944,-76.624409,2.4518514613915,-76.62339764974,,,0.0095098956308,,,,2.610972907124,,,,
9,100,tarjeta5-cubecell,0,2022-12-23,0 days 15:25:37,0 days 15:25:37,1,2.450575,-76.624645,2.4517612039857,-76.62369661064,,,-0.216569405678,,,,1.2553237915172,,,,
10,101,tarjeta5-cubecell,0,2022-12-23,0 days 15:25:51,0 days 15:25:51,1,2.450253,-76.624833,2.4514531352181,-76.62391943972,,,-0.334638040061,,,,-1.623410155897,,,,
11,102,tarjeta5-cubecell,0,2022-12-23,0 days 15:26:04,0 days 15:26:04,1,2.450122,-76.624929,2.451057125217,-76.62413211575,,,-0.13395647167,,,,-4.413720211768,,,,
12,103,tarjeta5-cubecell,0,2022-12-23,0 days 15:26:17,0 days 15:26:17,1,2.450126,-76.624926,2.4506706083961,-76.62431046187,,,-0.271788302261,,,,-6.028818505286,,,,
13,104,tarjeta5-cubecell,0,2022-12-23,0 days 15:26:30,0 days 15:26:30,1,2.450124,-76.624929,2.4503420494681,-76.62447722742,,,-0.719193668901,,,,-6.420214878459,,,,
14,105,tarjeta5-cubecell,0,2022-12-23,0 days 15:26:44,0 days 15:26:44,1,2.450125,-76.624929,2.4500982976473,-76.62461385881,,,-1.346439534338,,,,-5.962907767353,,,,
15,106,tarjeta5-cubecell,0,2022-12-23,0 days 15:26:57,0 days 15:26:57,1,2.450118,-76.624921,2.4499593972757,-76.62472352839,,,-1.971254997324,,,,-5.21679318517,,,,
16,107,tarjeta5-cubecell,0,2022-12-23,0 days 15:27:10,0 days 15:27:10,1,2.449817,-76.624994,2.4499064862863,-76.62480815617,,,-2.405289055217,,,,-4.169712002439,,,,
17,108,tarjeta5-cubecell,0,2022-12-23,0 days 15:27:24,0 days 15:27:24,1,2.449405,-76.624310,2.4499054990104,-76.62486151584,,,-2.638357606442,,,,-3.005276456222,,,,
18,109,tarjeta5-cubecell,0,2022-12-23,0 days 15:27:37,0 days 15:27:37,1,2.449050,-76.623757,2.4499324345601,-76.62488475233,,,-2.730314566949,,,,-1.926018614205,,,,
19,110,tarjeta5-cubecell,0,2022-12-23,0 days 15:27:50,0 days 15:27:50,1,2.448653,-76.623105,2.4499231467988,-76.62486134563,,,-2.598249413574,,,,-0.957990537127,,,,
20,111,tarjeta5-cubecell,0,2022-12-23,0 days 15:28:03,0 days 15:28:03,1,2.448276,-76.622449,2.4498476728534,-76.62475846189,,,-2.212917049734,,,,-0.147952334003,,,,
21,112,tarjeta5-cubecell,0,2022-12-23,0 days 15:28:17,0 days 15:28:17,1,2.447891,-76.621748,2.4496855028403,-76.62456069541,,,-1.664947843541,,,,0.4677124271959,,,,
22,113,tarjeta5-cubecell,0,2022-12-23,0 days 15:28:30,0 days 15:28:30,1,2.447626,-76.621651,2.449439406565,-76.62424837683,,,-0.994277440754,,,,0.5496401912354,,,,
23,114,tarjeta5-cubecell,0,2022-12-23,0 days 15:28:43,0 days 15:28:43,1,2.447217,-76.621847,2.4491092442907,-76.62383648529,,,-0.264059720752,,,,0.3995349873486,,,,
24,115,tarjeta5-cubecell,0,2022-12-23,0 days 15:28:56,0 days 15:28:56,1,2.446817,-76.622047,2.4487252345475,-76.62330543178,,,0.5647293565421,,,,-0.187814764017,,,,
25,116,tarjeta5-cubecell,0,2022-12-23,0 days 15:29:10,0 days 15:29:10,1,2.446540,-76.621565,2.4483536729275,-76.62274783202,,,0.9340653476542,,,,-1.313326084655,,,,
26,117,tarjeta5-cubecell,0,2022-12-23,0 days 15:29:23,0 days 15:29:23,1,2.446285,-76.621095,2.447945441806,-76.62206504554,,,1.1187442639132,,,,-5.445536808349,,,,
