,id,dev_id,id_route,date,hour,predicted_hour,type_record,latitude,longitude,predicted_latitude,predicted_longitude,speed,accx,accy,accz,gyrox,gyroy,gyroz,SF,BW,CR,RSSI
44,320,tarjeta4-esp32lora,0,2022-12-27,0 days 10:56:02,0 days 00:00:00,2,2.451494,-76.626998,2.4507205005975,-76.62728734998,0,-0.5162033,0.2776642,10.0284496,-1.3839689,-4.2672376,2.7215566,7,125000,4/5,-97
45,321,tarjeta4-esp32lora,0,2022-12-27,0 days 10:56:13,0 days 00:00:00,2,2.451203,-76.627216,2.4506654683992,-76.62764877954,0,-0.5976339,0.133963,9.338684,0.3870234,3.5800905,0.7673582,7,125000,4/5,-118
46,322,tarjeta4-esp32lora,0,2022-12-27,0 days 10:56:36,0 days 00:00:00,2,2.450620,-76.627674,2.4509351611777,-76.62772478563,0,-0.1521603,-0.5869378,9.8584032,0.0053441,0.55719,-2.8662295,7,125000,4/5,-96
47,323,tarjeta4-esp32lora,0,2022-12-27,0 days 10:56:48,0 days 00:00:00,2,2.450575,-76.627737,2.4512583631449,-76.62816967577,0,-0.2599362,-0.8360198,9.7889476,0.7229013,0.1449762,-1.950199,7,125000,4/5,-91
48,324,tarjeta4-esp32lora,0,2022-12-27,0 days 10:56:59,0 days 00:00:00,2,2.450584,-76.627763,2.4515912629588,-76.62835733796,0,-0.3030465,-0.124699,9.6069262,0.3106876,0.4045182,-0.041802,7,125000,4/5,-91
49,325,tarjeta4-esp32lora,0,2022-12-27,0 days 10:57:11,0 days 00:00:00,2,2.450579,-76.627762,2.4519655332435,-76.62879476665,0,0.3172634,0.5650665,9.7937377,-0.3916023,0.2518464,-4.0265345,7,125000,4/5,-91
50,326,tarjeta4-esp32lora,0,2022-12-27,0 days 10:57:21,0 days 00:00:00,2,2.450653,-76.628050,2.4526046529866,-76.62963543400,0,0.5831106,0.4165753,9.8057128,-0.0251902,-0.8168557,-2.9120311,7,125000,4/5,-95
51,327,tarjeta4-esp32lora,0,2022-12-27,0 days 10:57:33,0 days 00:00:00,2,2.451161,-76.628284,2.4527444454218,-76.63038519683,0,-0.6934347,-0.1438592,9.3003637,-0.437404,0.1907778,1.7749917,7,125000,4/5,-100
52,328,tarjeta4-esp32lora,0,2022-12-27,0 days 10:57:54,0 days 00:00:00,2,2.451786,-76.628718,2.4525786673681,-76.63075676357,0,0.9208084,-0.2995354,9.7626024,0.9061074,0.0686403,-0.3776799,7,125000,4/5,-95
53,329,tarjeta4-esp32lora,0,2022-12-27,0 days 10:58:06,0 days 00:00:00,2,2.452224,-76.629122,2.4525945799907,-76.63111273373,0,-0.0252243,-0.2372649,9.5470507,-0.8648849,-0.2214359,2.3856787,7,125000,4/5,-110
54,330,tarjeta4-esp32lora,0,2022-12-27,0 days 10:58:17,0 days 00:00:00,2,2.452628,-76.629409,2.4525083917322,-76.63124837617,0,-0.7988156,-0.3785711,9.9086986,1.0587792,-1.626016,0.0956025,7,125000,4/5,-121
