,0,1,2
0,2.4449008,664.4424023617822,210826.51043946974
1,2.4449008,6609.982808906823,1002924.3491723578
2,53093.515552299934,58203.86846995499,-3.481635
3,594601.8657847992,-76.6319076,23576283.18095295
4,29909.404220799963,63719945.98595386,23221587255.99369
5,268482710.8388845,524808931.8557662,-3.481635
6,21597769672.773193,15753382914.143715,-3.481635
7,197590568029.99844,1473037497807.393,804481457576472.8
8,118140157142040.25,-76.6319076,6.470158565287435e+16
9,2.2445800840626317e+17,-76.6319076,4.545193519715473e+19
10,2.3164034147943252e+20,-76.6319076,6.629873797532342e+21
11,3.851531624882051e+22,-76.6319076,2.5224348771574605e+25
12,6.2518745403774e+25,-76.6319076,1.8864783273814795e+28
13,8.445538381198634e+28,-76.6319076,1.591921760934643e+31
14,6.781612915115053e+31,-76.6319076,6.990051384728582e+33
15,1.330050432583602e+34,-76.6319076,7.402521397085276e+36
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
