,0,1
0,2.4518285,-76.631989
1,2.4515015,-76.63203
2,2.4512546,-76.6317725
3,2.4510025,-76.6315646
4,2.449194625668,-76.63056786944
5,2.448895075822,-76.63036012347
6,2.4485737008034,-76.63021034954
7,2.4483236674188,-76.63002046002
8,2.448064357613,-76.62978395903
9,2.4479058182626,-76.62945836137
10,2.4477970398726,-76.62922941303
11,2.4476780766446,-76.62896571027
12,2.4476303339846,-76.62857915982
13,2.4476366530836,-76.6282042984
14,2.4477938234255,-76.6278964772
15,2.4480278181989,-76.62766543317
16,2.4482786677638,-76.6274589898
17,2.4485250062712,-76.62725419549
18,2.4487820589418,-76.62710143554
19,2.4490928709604,-76.6270062456
20,2.4493643363915,-76.62688975194
21,2.4495830101565,-76.6267728482
22,2.449764826963,-76.62653925601
23,2.4498149763151,-76.62625385409
24,2.4497261000774,-76.62590724827
25,2.449441675184,-76.62537302601
26,2.4491919361789,-76.62507524419
27,2.4489908597486,-76.62470764118
28,2.448784595915,-76.6241364998
29,2.4485627093383,-76.62354464201
30,2.448388230545807,-76.6231254509624
31,2.4484738677633286,-76.623189972266
32,2.4486962708992004,-76.62352608767785
33,2.4489524652870176,-76.6240270843658
34,2.4492614028131485,-76.62451946140492
35,2.449496417093277,-76.62493749360713
36,2.449643629849243,-76.62507227426221
37,2.4497425797507284,-76.62517230313725
38,2.449847972860718,-76.62542758513773
39,2.4500723225198744,-76.62585457627596
40,2.4502019110563276,-76.62644358697857
41,2.4502725327201844,-76.62707015033526
42,2.4503943442941667,-76.62763061470302
43,2.4505790533245086,-76.62818997404761
44,2.4508057008686066,-76.62874897363082
45,2.451062773491478,-76.62938146076586
46,2.4513632384334563,-76.63016682981853
47,2.451836243253517,-76.63061055249366
48,2.4522224444976803,-76.63134968635833
49,2.452434882015991,-76.63152953597493
50,2.4524374561882016,-76.63174896223245
51,2.4523640547430037,-76.63189049459237
52,2.4523801152509686,-76.63191510336807
53,2.4524580600492474,-76.6319439498697
54,2.452460766447067,-76.6319781
55,2.452440116932678,-76.6319781
56,2.452454316813278,-76.6319781
57,2.4524157265495297,-76.63194070550932
58,2.452409780117035,-76.63187625133193
59,2.452386313622284,-76.63186012568586
