,Fecha,Hora,Latitud real,Longitud real,Latitud predicha,Longitud predicha,Error[metros]
0,2022-12-11,13:09:02,2.445606,-76.616731,2.4466365528682,-76.61955376059,333.96604445848806
1,2022-12-11,13:09:16,2.445585,-76.61668,2.4464197214389,-76.6191103801,285.58843196308686
2,2022-12-11,13:09:32,2.445458,-76.616271,2.4462482515768,-76.61871013189,284.94395446877877
3,2022-12-11,13:09:38,2.445394,-76.616096,2.4461128321912,-76.618351854,263.12311784226534
4,2022-12-11,13:09:51,2.44529,-76.615759,2.4459784808868,-76.6180026515,260.82053393811395
5,2022-12-11,13:10:01,2.445218,-76.615551,2.445867737833,-76.61768633362,248.04970784154884
6,2022-12-11,13:10:08,2.445172,-76.615394,2.4457710791499,-76.61740001396,232.66401032673548
7,2022-12-11,13:10:19,2.445083,-76.615171,2.4456858470416,-76.61714490703,229.37003326493914
8,2022-12-11,13:10:29,2.445078,-76.615148,2.4456200068911,-76.61693349896,207.36986173793719
9,2022-12-11,13:10:40,2.445089,-76.615104,2.4455680021014,-76.61674124397,189.57899614466976
10,2022-12-11,13:10:54,2.444899,-76.614717,2.4455410886157,-76.61657755017,218.74062874830872
11,2022-12-11,13:11:03,2.445142,-76.61455,2.445535312292,-76.61645855961,216.5533741740601
12,2022-12-11,13:11:15,2.445408,-76.61482,2.4455524952456,-76.61640155053,176.48306807084765
13,2022-12-11,13:11:23,2.445596,-76.615226,2.445615295647,-76.61646202597,137.370098767701
14,2022-12-11,13:13:21,2.447857,-76.621435,2.4467302936057,-76.61906327977,291.8342291598532
15,2022-12-11,13:15:15,2.45058,-76.625856,2.4489225908983,-76.62512742777,201.34266081918406
16,2022-12-11,13:15:21,2.450724,-76.625851,2.4491690889975,-76.62541632789,179.56559065710596
17,2022-12-11,13:15:35,2.451112,-76.625892,2.4494678881235,-76.62575184057,183.53050127764251
18,2022-12-11,13:15:45,2.451312,-76.626072,2.4498409689238,-76.62613835362,163.78335209013048
19,2022-12-11,13:16:00,2.45156,-76.626425,2.4502780300044,-76.62654803157,143.24268029672987
20,2022-12-11,13:16:13,2.451775,-76.626719,2.4506818735719,-76.6269120864,123.46313412538966
21,2022-12-11,13:16:25,2.451615,-76.62698,2.4509444187711,-76.62714156901,76.71677654926522
22,2022-12-11,13:17:12,2.450619,-76.627733,2.4516024485949,-76.62820383132,121.25437187579902
23,2022-12-11,13:18:26,2.453107,-76.629481,2.453285521018,-76.62999611955,60.58838285872604
24,2022-12-11,13:18:38,2.453649,-76.629841,2.4533792015875,-76.63076225452,106.68133778775511
25,2022-12-11,13:18:49,2.453932,-76.630087,2.4533209248556,-76.63164909412,186.4186249274774
26,2022-12-11,13:19:00,2.45385,-76.630399,2.4530697387257,-76.6319076,188.77397506395056
27,2022-12-11,13:19:12,2.453658,-76.630762,2.4527638816719,-76.6319076,161.54413247858517
28,2022-12-11,13:19:23,2.453457,-76.631087,2.4524562161109,-76.6319076,143.89597856535968
29,2022-12-11,13:20:13,2.453122,-76.631648,2.4522726913125,-76.63138042346,99.03456412825457
30,2022-12-11,13:20:27,2.45307,-76.631789,2.4517788396886,-76.63061642706,193.91382157306612
31,2022-12-11,13:21:10,2.453043,-76.631865,2.4512531911023,-76.62946917134,332.4326481055415
32,2022-12-11,13:22:23,2.453043,-76.631865,2.4512821352231,-76.62923116626,352.1681726146253
33,2022-12-11,13:22:53,2.452584,-76.631771,2.4514745216537,-76.62941380531,289.55464561840574
34,2022-12-11,13:23:33,2.451726,-76.630142,2.451356147409,-76.62911685426,121.11880826784001
35,2022-12-11,13:23:42,2.451511,-76.629742,2.450782615271,-76.62813460652,196.1349041073314
36,2022-12-11,13:25:07,2.45013,-76.625455,2.4498055309331,-76.62598167961,68.75948861436062
37,2022-12-11,13:25:35,2.449293,-76.624137,2.4493299789052,-76.62482307271,76.35045500009728
38,2022-12-11,13:26:01,2.44857,-76.623038,2.4487756362087,-76.62381269797,89.07464782125615
39,2022-12-11,13:27:13,2.447412,-76.620553,2.4471538820009,-76.6205566453,28.712358283920032
40,2022-12-11,13:28:26,2.446492,-76.618643,2.4460770764177,-76.61848975969,49.191868339652856
41,2022-12-11,13:28:37,2.446146,-76.617988,2.4458306527613,-76.6178295774,39.245046989375595
