,Fecha,Hora,Latitud real,Longitud real,Latitud,Longitud,Error[metros]
0,2022-12-11,13:09:18,2.448626,-76.623126,2.4488091839602,-76.62400608893,99.89945125399352
1,2022-12-11,13:13:12,2.452503,-76.631433,2.4522139925421,-76.63098550049,59.21317737759232
2,2022-12-11,13:14:07,2.451644,-76.632031,2.4525033681179,-76.6319781,95.76489900509806
3,2022-12-11,13:14:07,2.451644,-76.632031,2.4525033681179,-76.6319781,95.76489900509806
4,2022-12-11,13:14:15,2.451325,-76.631903,2.4518577693121,-76.6319781,59.842709950857554
5,2022-12-11,13:14:20,2.451158,-76.631731,2.451549897707,-76.63179740249,44.20947187298013
6,2022-12-11,13:16:30,2.446822,-76.628364,2.4473482005085,-76.62947037418,136.1656306007454
7,2022-12-11,13:20:34,2.448593,-76.623075,2.448940159682,-76.62344711274,56.57634748667957
8,2022-12-11,13:26:11,2.451388,-76.632003,2.4527750589413,-76.6319781,154.3021948470424
9,2022-12-11,13:29:09,2.447055,-76.628912,2.447187768362,-76.62873014729,25.029012746288387
10,2022-12-11,13:29:26,2.446886,-76.628404,2.4476195075479,-76.62839515094,81.59122986492974
11,2022-12-11,13:29:31,2.446801,-76.628317,2.447357794009,-76.62856810549,67.92625240133536
12,2022-12-11,13:29:56,2.44748,-76.627906,2.4482337108877,-76.6279787169,84.22099424296893
13,2022-12-11,13:29:58,2.447581,-76.62786,2.447920825531,-76.62819192202,52.812294307781265
14,2022-12-11,13:30:46,2.449359,-76.627052,2.448562037896,-76.62777368332,119.5371627234911
15,2022-12-11,13:30:46,2.449359,-76.6270522,2.448562037896,-76.62777368332,119.52225327314189
16,2022-12-11,13:32:30,2.449415,-76.626979,2.4495814317345,-76.62710409543,23.14997854365477
17,2022-12-11,13:32:35,2.449415,-76.62698,2.4492378154216,-76.62733382443,43.9811569644088
