,date,hour,escenario,real_latitude,real_longitude,predicted_latitude,predicted_longitude,error[meters]
0,2022-12-23,15:23:38,1,2.450053,-76.621476,2.4485852400971,-76.62163138322,164.16404888337732
1,2022-12-23,15:23:51,1,2.450706,-76.621716,2.4490127415185,-76.62152273361,189.55539773100017
2,2022-12-23,15:24:05,1,2.451302,-76.622026,2.4494815442277,-76.62146447252,211.8793456349333
3,2022-12-23,15:24:18,1,2.451747,-76.622598,2.4499510673916,-76.62155583804,230.89804611277586
4,2022-12-23,15:24:31,1,2.452118,-76.623234,2.4503535756252,-76.62177890348,254.28343697842297
5,2022-12-23,15:24:44,1,2.45231,-76.623571,2.4507612706854,-76.6221349269,234.81903639378757
6,2022-12-23,15:24:58,1,2.451893,-76.623856,2.451191022225,-76.62255766921,164.04842509429182
7,2022-12-23,15:25:11,1,2.451452,-76.624116,2.4516022205701,-76.6229921223,126.00302499743596
8,2022-12-23,15:25:24,1,2.450944,-76.624409,2.4518514613915,-76.62339764974,151.0567454958665
9,2022-12-23,15:25:37,1,2.450575,-76.624645,2.4517612039857,-76.62369661064,168.8617305913389
10,2022-12-23,15:25:51,1,2.450253,-76.624833,2.4514531352181,-76.62391943972,167.70437590964883
11,2022-12-23,15:26:04,1,2.450122,-76.624929,2.451057125217,-76.62413211575,136.60119014534115
12,2022-12-23,15:26:17,1,2.450126,-76.624926,2.4506706083961,-76.62431046187,91.36768130298907
13,2022-12-23,15:26:30,1,2.450124,-76.624929,2.4503420494681,-76.62447722742,55.75432161514203
14,2022-12-23,15:26:44,1,2.450125,-76.624929,2.4500982976473,-76.62461385881,35.145649099379426
15,2022-12-23,15:26:57,1,2.450118,-76.624921,2.4499593972757,-76.62472352839,28.155539871666633
16,2022-12-23,15:27:10,1,2.449817,-76.624994,2.4499064862863,-76.62480815617,22.92519236386777
17,2022-12-23,15:27:24,1,2.449405,-76.62431,2.4499054990104,-76.62486151584,82.79548232925445
18,2022-12-23,15:27:37,1,2.44905,-76.623757,2.4499324345601,-76.62488475233,159.1815698093678
19,2022-12-23,15:27:50,1,2.448653,-76.623105,2.4499231467988,-76.62486134563,240.93747923359456
20,2022-12-23,15:28:03,1,2.448276,-76.622449,2.4498476728534,-76.62475846189,310.5191642595077
21,2022-12-23,15:28:17,1,2.447891,-76.621748,2.4496855028403,-76.62456069541,370.85334222148293
22,2022-12-23,15:28:30,1,2.447626,-76.621651,2.449439406565,-76.62424837683,352.1237398876951
23,2022-12-23,15:28:43,1,2.447217,-76.621847,2.4491092442907,-76.62383648529,305.2430130570193
24,2022-12-23,15:28:56,1,2.446817,-76.622047,2.4487252345475,-76.62330543178,254.1738187916051
25,2022-12-23,15:29:10,1,2.44654,-76.621565,2.4483536729275,-76.62274783202,240.77210113970224
26,2022-12-23,15:29:23,1,2.446285,-76.621095,2.447945441806,-76.62206504554,213.8421423778164
27,2022-12-27,10:35:00,2,2.446997,-76.620398,2.4461393465685,-76.62092845375,112.13669757178529
28,2022-12-27,10:35:11,2,2.447013,-76.620386,2.4462861327399,-76.62061643966,84.80531638709883
29,2022-12-27,10:35:22,2,2.447111,-76.620341,2.4462861327399,-76.62061643966,96.71791920723788
30,2022-12-27,10:35:34,2,2.447512,-76.62078,2.4463284178847,-76.62052646758,134.6264310481381
31,2022-12-27,10:35:44,2,2.447784,-76.621356,2.4463547892302,-76.62049067523,185.7866640104253
32,2022-12-27,10:36:06,2,2.448495,-76.621499,2.4463905578845,-76.62046676372,260.6647550414735
33,2022-12-27,10:36:18,2,2.44897,-76.621296,2.4464282607137,-76.62055290019,294.5213655195821
34,2022-12-27,10:36:29,2,2.44941,-76.621335,2.4464282607137,-76.62055290019,342.8464270796099
35,2022-12-27,10:36:41,2,2.449954,-76.621499,2.4464427550247,-76.62058229022,403.60982391460635
36,2022-12-27,10:36:52,2,2.450472,-76.621687,2.4464654529961,-76.62061167654,461.3762626734497
37,2022-12-27,10:37:09,2,2.451273,-76.622069,2.446490793712,-76.62061104102,556.0341047259178
38,2022-12-27,10:37:32,2,2.451898,-76.622984,2.4465074162435,-76.62060805308,655.1331551966468
