,0
0,453.4774327581845
1,520.1698988182824
2,558.0160624354827
3,534.6674414205603
4,166.47267759585466
5,251.17134290047022
6,259.87142406626106
7,285.3374290995146
8,308.0350701155722
9,171.10562849657288
10,157.01643075937417
11,141.06371510502387
12,133.83240680976826
13,141.0291566920736
14,28.823781759436372
15,205.78331943881423
16,168.35372524695808
17,135.2990782944902
18,138.10560926392972
19,133.18534305532856
20,54.17708879493872
21,47.408182195468775
22,48.61893186190361
23,60.30000823113725
24,127.78425921510295
25,273.8932020382225
26,123.28998222394218
27,154.58529748956823
28,142.84498468862049
29,110.53355573404158
